State,abbreviation,Republican,Democrat
Alabama,AL,D. Trump,H. Clinton
Alaska,AK,T. Cruz,B. Sanders
Arizona,AZ,D. Trump,H. Clinton
Arkansas,AR,D. Trump,H. Clinton
California,CA,,
Colorado,CO,T. Cruz,B. Sanders
Connecticut,CT,D. Trump,H. Clinton
Delaware,DE,D. Trump,H. Clinton
Florida,FL,D. Trump,H. Clinton
Georgia,GA,D. Trump,H. Clinton
Hawaii,HI,D. Trump,B. Sanders
Idaho,ID,T. Cruz,B. Sanders
Illinois,IL,D. Trump,H. Clinton
Indiana,IN,,
Iowa,IA,T. Cruz,H. Clinton
Kansas,KS,T. Cruz,B. Sanders
Kentucky,KY,D. Trump,
Louisiana,LA,D. Trump,H. Clinton
Maine,ME,T. Cruz,B. Sanders
Maryland,MD,D. Trump,H. Clinton
Massachusetts,MA,D. Trump,H. Clinton
Michigan,MI,D. Trump,B. Sanders
Minnesota,MN,M. Rubio,B. Sanders
Mississippi,MS,D. Trump,H. Clinton
Missouri,MO,D. Trump,H. Clinton
Montana,MT,,
Nebraska,NE,,B. Sanders
Nevada,NV,D. Trump,H. Clinton
New Hampshire,NH,D. Trump,B. Sanders
New Jersey,NJ,,
New Mexico,NM,,
New York,NY,D. Trump,H. Clinton
North Carolina,NC,D. Trump,H. Clinton
North Dakota,ND,,
Ohio,OH,J. Kasich,H. Clinton
Oklahoma,OK,T. Cruz,B. Sanders
Oregon,OR,,
Pennsylvania,PA,D. Trump,H. Clinton
Rhode Island,RI,D. Trump,B. Sanders
South Carolina,SC,D. Trump,H. Clinton
South Dakota,SD,,
Tennessee,TN,D. Trump,H. Clinton
Texas,TX,T. Cruz,H. Clinton
Utah,UT,T. Cruz,B. Sanders
Vermont,VT,D. Trump,B. Sanders
Virginia,VA,D. Trump,H. Clinton
Washington,WA,,B. Sanders
West Virginia,WV,,
Wisconsin,WI,T. Cruz,B. Sanders
Wyoming,WY,T. Cruz,B. Sanders
Washington DC,DC,M. Rubio,